word,doc_ids
substanc,[2]
avenu,[2]
anoth,"[2, 4, 7, 14, 17, 18, 19]"
emerg,"[2, 15]"
year,"[2, 4, 6, 10, 11, 12, 18]"
stumbl,"[2, 11, 6]"
upon,"[2, 11, 6]"
mastodon,"[9, 2]"
remind,"[2, 3]"
earli,"[2, 10, 11, 15, 16]"
twitter,"[2, 18, 15]"
small,"[2, 4, 10, 11, 12, 14, 17, 18]"
number,"[2, 6, 7, 10, 12, 18, 19]"
folk,[2]
nerd,[2]
varieti,[2]
interest,"[2, 3, 10, 12, 15, 19]"
log,"[2, 3, 4, 7, 9, 17]"
ruin,[2]
older,[2]
see,"[2, 3, 4, 6, 7, 9, 10, 11, 14, 15, 16, 17, 18, 19]"
present,"[11, 2, 10]"
reason,"[9, 2, 7]"
infer,"[2, 12, 14]"
care,[2]
contrast,[2]
origin,"[18, 2, 10, 4]"
result,"[2, 4, 6, 7, 10, 12, 14, 15, 17, 18, 19]"
choic,"[2, 6, 15]"
rather,"[2, 7, 9, 10, 11, 15]"
tri,"[2, 6, 7, 10, 12, 15]"
captur,"[2, 15]"
monetis,[2]
calm,[2]
predict,"[2, 19, 6]"
closer,[2]
stay,"[2, 10, 11, 15, 18, 19]"
miscellan,[2]
three,"[2, 7, 10, 15, 19]"
invers,[2]
law,[2]
twenti,[2]
five,[2]
subscrib,"[10, 16, 2, 3]"
rss,"[9, 2, 10, 7]"
irc,[2]
email,"[2, 4, 9, 11, 14, 17, 18]"
home,"[2, 6, 11, 12, 19]"
link,"[2, 11, 14]"
feed,"[2, 11, 7]"
github,"[2, 4, 7, 9, 10, 14, 15, 17, 18, 19]"
adolfo,[3]
ochagavía,[3]
blog,"[3, 4, 6, 7, 10, 12, 14, 15, 17, 18, 19]"
consult,[3]
feb,"[3, 9, 11, 15, 19]"
last,"[3, 4, 6, 7, 11, 14, 17, 18, 19]"
week,"[11, 3, 12]"
diagnos,[3]
bug,"[3, 4, 10, 11, 15, 18]"
open,"[3, 4, 6, 7, 10, 14, 15, 17, 18]"
sourc,"[3, 4, 6, 7, 9, 10, 14, 15, 16, 17, 18]"
librari,"[3, 9, 10, 14, 15]"
maintain,"[3, 4, 7, 9, 14, 15, 17, 18]"
issu,"[3, 4, 6, 7, 9, 10, 11, 14, 15, 17, 18]"
gnarli,[3]
enough,"[3, 4, 6, 15, 19]"
right,"[3, 4, 6, 7, 11, 15, 18, 19]"
away,"[10, 3]"
thought,"[3, 12, 6]"
set,"[3, 4, 6, 7, 9, 14, 15, 17, 18, 19]"
breakpoint,[3]
fire,"[3, 15]"
debugg,[3]
root,"[9, 3, 6, 14]"
caus,"[3, 14, 7]"
proceed,[3]
mercilessli,[3]
destroy,[3]
roll,[3]
sleev,[3]
saw,"[10, 3]"
program,"[3, 4, 10, 14, 17, 18]"
complet,"[3, 4, 6, 7, 10, 11, 14, 15, 17, 18, 19]"
without,"[3, 6, 7, 9, 10, 11, 12, 14, 15, 17, 19]"
interrupt,"[18, 3, 15, 7]"
whatsoev,[3]
ignor,"[3, 7, 9, 10, 15]"
even,"[3, 4, 6, 7, 10, 11, 15, 19]"
certain,"[11, 3]"
line,"[3, 4, 9, 10, 17, 18, 19]"
question,"[11, 19, 3, 4]"
must,"[3, 4, 7, 14, 17, 18]"
sure,"[11, 18, 3, 15]"
sinc,"[19, 10, 3]"
problem,"[3, 4, 6, 9, 10, 11, 15, 19]"
solv,"[3, 6, 9, 10, 11, 18]"
mode,"[3, 4, 7, 14, 15, 17]"
think,"[3, 4, 10, 15, 18]"
approach,"[3, 4, 7, 9, 10, 15, 19]"
prey,[3]
tunnel,[3]
vision,[3]
modifi,"[3, 4, 7, 10, 14, 15]"
data,"[3, 7, 10, 11, 12, 14, 15, 16, 19]"
yield,[3]
insight,"[3, 4, 14, 17, 18, 19]"
frustrat,"[10, 3]"
fingertip,[3]
itch,[3]
write,"[3, 4, 6, 7, 9, 12, 14, 15, 17, 18, 19]"
troubleshoot,"[10, 3]"
suddenli,"[11, 3]"
dawn,[3]
darn,[3]
alreadi,"[3, 4, 6, 7, 9, 10, 11, 15, 17]"
might,"[19, 3, 4, 15]"
slower,"[19, 3]"
give,"[3, 4, 6, 7, 10, 15, 19]"
abil,"[16, 10, 3, 7]"
